,unit_name,y2030,y2040,y2050,node,scenario,polygon,technology
0,(COEL)FT-MEA_FR,0.0,4.608403731019998e-15,3173.9309418105254,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Synfuel Production
1,(LN)O_ES,0.2961792179378023,0.41655400947505034,0.6975008962160912,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,(LN)O
2,(LN)O_FR,0.5738874437073732,0.819467657340742,1.3656815693328255,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(LN)O
3,(LN)O_PT,8.581063546747121e-13,8.644166777155579e-13,0.2684628107345799,chemicals,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,(LN)O
4,(NG)_gco_FR,681.3454337899522,1.070819293605935e-13,2.7670528267483702e-14,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)_gco
5,(NG)_gfi_FR,43.263127853880604,3.570550915044432e-14,2.0855273344759565e-14,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)_gfi
6,(NG)_gfl_FR,108.89554794520421,4.036234329171557e-14,2.325721004511015e-14,glass,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,(NG)_gfl
7,BF-BOF_ES,560.6164383561643,5.69560756500127e-15,4.2752730691522583e-14,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,BF-BOF
8,BF-BOF_FR,1201.3698630136987,8.062681734280032e-15,4.2727467874409645e-14,steel,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,BF-BOF
9,CCGT-existing_ES,9687.634057565525,0.0,11244.465942434263,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Turbine
10,CCGT-existing_FR,2578.6000000000013,0.0,6446.499999998825,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Turbine
11,CCGT-existing_PT,951.9014817613561,0.0,2212.09851823844,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Turbine
12,CEM2-(BMW)Oxy-MEA_ES,0.0,9.446557984379134e-13,2648.93310502272,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,CEM2-(BMW)Oxy-MEA
13,CEM2-(BMW)Oxy-MEA_PT,0.0,6.055978007021294e-13,733.2632420089973,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,CEM2-(BMW)Oxy-MEA
14,EU-mix-2018_ES,2648.93310502283,8.381015973964833e-14,4.244830381654187e-13,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,EU-mix-2018
15,EU-mix-2018_FR,1808.1450913241997,7.611988686686323e-14,4.2657789739479545e-13,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,EU-mix-2018
16,EU-mix-2018_PT,733.2632420091313,6.395951138705593e-14,4.2524850367785743e-13,cement,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,EU-mix-2018
17,REF-SMR_ES,23330.007346664832,7966.946161810836,19874.160568640924,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Refinery
18,REF-SMR_FR,37127.863350873886,5865.950300009635,8139.99274181022,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Refinery
19,REF-SMR_PT,3255.345938108849,2860.0151642697415,2933.2356485195282,hydrocarbons,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Refinery
20,SCPC-existing_ES,322.29999999999995,0.0,966.9000000000001,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Coal PP
21,SCPC-existing_FR,181.5999999999999,1.1368683772161603e-13,544.8,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Coal PP
22,SMR_ES,2.0971985347509718e-13,1544.3726132200272,914.3273867797135,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Steam Methane Reforming
23,SMR_PT,2.912831689998924e-14,45.07969495288481,415.720305046882,hydrogen,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Steam Methane Reforming
24,air-heatpump-existing_ES,0.0,128.02000000000004,228.45999999999998,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Air HP
25,air-heatpump-existing_FR,0.0,2256.55,4026.83,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Air HP
26,air-heatpump-existing_PT,1.4210854715202004e-14,27.88000000000001,49.74999999999997,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Air HP
27,bio-boiler-existing_ES,37691.82999999998,2.16879905543797e-12,1.9087699459346143e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Biomass Boiler
28,bio-boiler-existing_FR,17726.46,0.0,42906.79,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Biomass Boiler
29,bio-boiler-existing_PT,3481.216341231824,314.0736587681662,9.418788267222212e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Biomass Boiler
30,bio-diges-up_ES,96.29999999999735,2.6559485055799804e-12,1.316728720947131e-13,methane,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Bio-digestion and Upgrading
31,bio-diges-up_FR,863.3999999999975,2.5835189972808777e-12,1.3114148269012794e-13,methane,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Bio-digestion and Upgrading
32,bioST-existing_ES,636.2999999999981,2.3031030172770265e-14,1.794927153011991e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,bioST-existing
33,bioST-existing_FR,1208.699999999998,2.8238726542174006e-14,2.0496268171018717e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,bioST-existing
34,bioST-existing_PT,612.8999999999982,2.220614057727945e-14,1.822699763681439e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,bioST-existing
35,coal-boiler-existing_ES,2.842170943040401e-14,71.71000000000001,173.56999999999996,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Coal Boiler
36,coal-boiler-existing_FR,0.0,39.165000000000006,94.80499999999999,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Coal Boiler
37,coal-boiler-existing_PT,2.6253305085433e-14,0.010000000000001102,0.019999999999972644,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Coal Boiler
38,electric-heating-existing_ES,0.0,770.1150000000002,2310.3450000000003,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Electric Heater
39,electric-heating-existing_FR,0.0,2591.625,7774.875,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Electric Heater
40,electric-heating-existing_PT,0.0,119.59000000000003,358.7600000000002,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Electric Heater
41,gas-boiler-existing_ES,0.0,4221.75,12319.779999999999,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Gas Boiler
42,gas-boiler-existing_FR,0.0,21110.225,61603.195,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Gas Boiler
43,gas-boiler-existing_PT,0.0,372.4350000000002,1086.8249999999998,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Gas Boiler
44,ground-heatpump-existing_ES,0.0,46.97000000000001,113.69999999999997,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Ground HP
45,ground-heatpump-existing_FR,0.0,827.9549999999999,2004.065,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Ground HP
46,ground-heatpump-existing_PT,7.105427357601002e-15,10.23,24.759999999999994,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Ground HP
47,nuclear-3-existing_ES,0.0,711.6999999999998,2135.1000000000013,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Nuclear
48,nuclear-3-existing_FR,6452.67042141132,13482.114921468747,8187.007692059393,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Nuclear
49,oil-boiler-existing_ES,3965.4738049838843,4488.526195016095,2.09580912944767e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Diesel Boiler
50,oil-boiler-existing_FR,24624.959999999966,8.345863321586754e-12,2.3618768311738916e-11,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Diesel Boiler
51,oil-boiler-existing_PT,1757.559999999909,8.221243194201402e-11,8.766483669457282e-12,buildings heat,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Diesel Boiler
52,oil-eng-existing_ES,535.9999999999746,7.24975034076385e-14,2.530922129200031e-11,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Diesel Group
53,oil-eng-existing_FR,2052.799999999991,7.21000757706418e-13,8.582444152802903e-12,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Diesel Group
54,solar-PV-existing_ES,0.0,2349.9500000000044,43550.05,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Solar
55,solar-PV-existing_FR,0.0,3550.0000000000036,23150.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Solar
56,solar-PV-existing_PT,0.0,200.0,6100.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Solar
57,wasteST-existing_ES,491.39999999999947,1.267481447478076e-14,4.95913955033217e-13,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,wasteST-existing
58,wasteST-existing_FR,836.0999999999995,2.198673296266607e-14,4.927782302482752e-13,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,wasteST-existing
59,wind-off-existing_ATFR,0.0,0.0,2500.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Offshore Wind
60,wind-on-existing_ES,0.0,6499.100000000002,17597.7,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,ES,Onshore Wind
61,wind-on-existing_FR,0.0,4750.0,19350.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,FR,Onshore Wind
62,wind-on-existing_PT,0.0,1950.0,2750.0,electricity,wy2009__2030_wy2009__2040_wy2009__2050_wy2009__medium_bio__current__GA__GA_flex0__Base__Run_Model_Planning,PT,Onshore Wind
